,open,high,low,close
2017-06-12,1.27393,1.27694,1.26359,1.2667
2017-06-13,1.2667,1.27567,1.26394,1.27474
2017-06-14,1.27479,1.28179,1.2721,1.27552
2017-06-15,1.27555,1.27956,1.26888,1.2753
2017-06-16,1.27528,1.2806,1.27497,1.2777
2017-06-19,1.27743,1.28144,1.2722,1.27379
2017-06-20,1.27381,1.27584,1.2602,1.2626
2017-06-21,1.26264,1.27103,1.2587,1.26735
2017-06-22,1.26731,1.26913,1.2651,1.26795
2017-06-23,1.2679,1.27444,1.26729,1.2715
2017-06-26,1.27402,1.27598,1.2703,1.27185
2017-06-27,1.27192,1.28613,1.27138,1.28182
2017-06-28,1.28181,1.29723,1.2792,1.2934
2017-06-29,1.29334,1.30154,1.2932,1.30096
2017-06-30,1.30095,1.30304,1.29447,1.30218
2017-07-03,1.30182,1.30231,1.29288,1.2942
2017-07-04,1.29423,1.29592,1.29106,1.29273
2017-07-05,1.2927,1.29481,1.28921,1.29349
2017-07-06,1.29349,1.29836,1.2917,1.29679
2017-07-07,1.29679,1.29748,1.2863,1.2888
2017-07-10,1.28871,1.29083,1.2854,1.28777
2017-07-11,1.28781,1.29274,1.28285,1.2853
2017-07-12,1.2853,1.2908,1.28092,1.28904
2017-07-13,1.28904,1.29552,1.28858,1.29397
2017-07-14,1.29398,1.31138,1.29324,1.30899
2017-07-17,1.31084,1.31129,1.30441,1.30524
2017-07-18,1.3052,1.31258,1.3003,1.30357
2017-07-19,1.30361,1.30529,1.3009,1.30244
2017-07-20,1.30236,1.30327,1.29306,1.29648
2017-07-21,1.29648,1.30199,1.29508,1.29929
2017-07-24,1.30001,1.30582,1.29881,1.30227
2017-07-25,1.30221,1.30839,1.30074,1.3029
2017-07-26,1.30294,1.31261,1.29985,1.3116
2017-07-27,1.31157,1.31592,1.30506,1.30715
2017-07-28,1.30712,1.31521,1.30637,1.3131
2017-07-31,1.31473,1.32251,1.3095,1.32
2017-08-01,1.32,1.3245,1.3188,1.32045
2017-08-02,1.32045,1.32518,1.3188,1.32251
2017-08-03,1.32252,1.32687,1.311,1.31413
2017-08-04,1.31413,1.31644,1.30215,1.30359
2017-08-07,1.30445,1.30591,1.30116,1.30327
2017-08-08,1.30331,1.3054,1.29506,1.2993
2017-08-09,1.2993,1.30284,1.29655,1.30118
2017-08-10,1.30122,1.30154,1.2951,1.29755
2017-08-11,1.29751,1.30318,1.29385,1.30078
2017-08-14,1.30082,1.3022,1.29554,1.29604
2017-08-15,1.29606,1.29701,1.28443,1.28661
2017-08-16,1.28662,1.29031,1.28401,1.28922
2017-08-17,1.28921,1.29089,1.28505,1.28712
2017-08-18,1.28715,1.29179,1.283,1.28729
2017-08-21,1.28726,1.29165,1.2848,1.28943
2017-08-22,1.28949,1.2909,1.28085,1.28215
2017-08-23,1.28221,1.28336,1.2777,1.28027
2017-08-24,1.28027,1.28373,1.27725,1.28026
2017-08-25,1.28027,1.2889,1.27919,1.2877
2017-08-28,1.29049,1.29427,1.28712,1.29293
2017-08-29,1.29296,1.2979,1.29132,1.29283
2017-08-30,1.29284,1.29381,1.28759,1.2922
2017-08-31,1.2923,1.29452,1.28512,1.29409
2017-09-01,1.29411,1.29955,1.2903,1.2948
2017-09-04,1.29616,1.29662,1.2911,1.29297
2017-09-05,1.29299,1.30438,1.2907,1.30409
2017-09-06,1.30409,1.30822,1.3017,1.30459
2017-09-07,1.30466,1.31157,1.3031,1.30969
2017-09-08,1.30962,1.32242,1.3092,1.31933
2017-09-11,1.3191,1.32223,1.3158,1.31748
2017-09-12,1.31752,1.32983,1.3158,1.32957
2017-09-13,1.32964,1.3329,1.31833,1.32141
2017-09-14,1.32139,1.34058,1.315,1.34007
2017-09-15,1.34008,1.36166,1.338,1.35889
2017-09-18,1.35818,1.36189,1.3463,1.35123
2017-09-19,1.35122,1.35517,1.34676,1.35115
2017-09-20,1.35119,1.36576,1.34507,1.35035
2017-09-21,1.35035,1.35867,1.3469,1.3573
2017-09-22,1.3573,1.35961,1.3448,1.3494
2017-09-25,1.35036,1.35708,1.343,1.34812
2017-09-26,1.34813,1.35145,1.3407,1.34536
2017-09-27,1.34536,1.34552,1.3362,1.33945
2017-09-28,1.33948,1.34555,1.3342,1.34351
2017-09-29,1.34348,1.34362,1.3348,1.33933
2017-10-02,1.33968,1.33983,1.3255,1.32777
2017-10-03,1.3278,1.32876,1.3221,1.32376
2017-10-04,1.32377,1.32919,1.3234,1.32431
2017-10-05,1.3243,1.32502,1.3106,1.3114
2017-10-06,1.31153,1.3117,1.3026,1.30629
2017-10-09,1.30815,1.3184,1.3073,1.31355
2017-10-10,1.31354,1.3226,1.3133,1.3203
2017-10-11,1.32044,1.32344,1.3174,1.32255
2017-10-12,1.32264,1.32907,1.312,1.32673
2017-10-13,1.32673,1.3338,1.32456,1.32828
2017-10-16,1.328,1.33118,1.3224,1.32454
2017-10-17,1.32443,1.32874,1.3153,1.31907
2017-10-18,1.3191,1.32117,1.3139,1.3207
2017-10-19,1.32068,1.32285,1.31302,1.31562
2017-10-20,1.31562,1.32007,1.3086,1.3185
2017-10-23,1.31822,1.32273,1.31569,1.3204
2017-10-24,1.32043,1.32278,1.3112,1.31311
2017-10-25,1.31311,1.32716,1.3109,1.32667
